Bundesstaat;Orientierung;Wahlberechtigte;Wahlbeteiligung;2002;2006;2010;2014;2018;2018
Alabama;R;4874747;40,58;41,5;37,5;43,3;33,2;47,4;47,4
Alaska;R;739795;53,42;54,5;51,2;52,9;54,8;53,7;53,7
Arizona;;7016270;40,12;36,7;39,6;41,6;34,1;48,6;48,6
Arkansas;;3004279;40;41,7;38,9;37,9;40,3;41,2;41,2
California;D;39536653;40,58;37,3;41,2;45,9;30,7;47,8;47,8
Colorado;;5607154;52,6;46,6;48,1;51,7;54,7;61,9;61,9
Connecticut;D;3588184;46,76;45,1;47,7;45,9;42,5;52,6;52,6
Delaware;;961939;43,8;41,1;42,9;49;34,9;51,1;51,1
District of Columbia;;693972;33,14;30,1;28,7;29,6;35,7;41,6;41,6
Florida;;20984400;45,26;45,9;40,1;42,2;43,3;54,8;54,8
Georgia;;10429379;40,94;35,4;35,1;40,6;38,6;55;55
Hawaii;D;1427538;39,74;44,2;38,4;40,3;36,5;39,3;39,3
Idaho;R;1716943;44,7;45,2;46,2;42,9;39,8;49,4;49,4
Illinois;D;12802023;43,4;42,8;41,4;43,1;40,8;48,9;48,9
Indiana;;6666818;36,9;33,9;37,7;38,1;28,7;46,1;46,1
Iowa;;3145711;51,46;48,7;49,2;50,7;50,3;58,4;58,4
Kansas;R;2913123;45,16;44,9;44,3;42,6;43,3;50,7;50,7
Kentucky;;4454189;43,84;37,2;44,2;44,3;44,9;48,6;48,6
Louisiana;;4684333;39,92;40,1;31,4;40;44,9;43,2;43,2
Maine;D;1335907;55,66;50,8;54,2;55,9;58,7;58,7;58,7
Maryland;D;6052177;46,76;46,8;47,2;46,7;42;51,1;51,1
Massachusetts;D;6859819;49,34;49,8;49,3;49,4;44,7;53,5;53,5
Michigan;;9962311;48,68;45;52,8;45,1;43,2;57,3;57,3
Minnesota;;5576606;59,06;64,1;60,5;55,8;50,6;64,3;64,3
Mississippi;R;2984100;33,24;30,1;29,4;37;29;40,7;40,7
Missouri;;6113532;45,86;45,6;51,2;45,7;33,6;53,2;53,2
Montana;;1050493;52,66;49,7;57,1;48,4;47,5;60,6;60,6
Nebraska;;1320076;44,02;39,9;48,8;38,7;41,4;51,3;51,3
Nevada;;2998039;38,48;36,8;37,1;41,4;29,6;47,5;47,5
New Hampshire;;1342795;48,14;48,7;42,9;46,1;48,3;54,7;54,7
New Jersey;D;9005644;39,18;38,9;40,6;37,7;32,5;46,2;46,2
New Mexico;;2088070;42;40;43,1;44,7;35,4;46,8;46,8
New York;D;19849399;36,18;37;36,5;36,3;29;42,1;42,1
North Carolina;;10273419;40,48;39,7;32,5;39,8;41,2;49,2;49,2
North Dakota;R;755393;49,06;49,8;45,4;46,6;45;58,5;58,5
Ohio;;11685609;44,4;40,3;49,5;46,2;36,2;49,8;49,8
Oklahoma;R;3930864;37,84;41,2;36,4;39,1;30;42,5;42,5
Oregon;D;4142776;54,72;51,8;53,2;53,9;53,4;61,3;61,3
Pennsylvania;;12805537;42,5;38,8;44,1;42,4;36,5;50,7;50,7
Rhode Island;D;1059639;46,52;45,4;52,1;45,4;42,4;47,3;47,3
South Carolina;R;5024369;38,62;36,9;35,4;40,3;35,2;45,3;45,3
South Dakota;R;869666;54,4;61,2;58,8;53,9;44,7;53,4;53,4
Tennessee;;6715984;38,26;39,6;42,1;35,1;29,8;44,7;44,7
Texas;R;28304596;34,5;34,5;30,9;32,7;28,3;46,1;46,1
Utah;;3101833;36,44;37,8;35;36,8;30,3;42,3;42,3
Vermont;D;623657;50,26;49,4;55;49,8;40,8;56,3;56,3
Virginia;;8470020;41,46;32,3;44,5;39,1;36,8;54,6;54,6
Washington;D;7405743;49,2;43,5;47,3;54,3;43,1;57,8;57,8
West Virginia;;1815857;35,36;31,5;33,8;37,2;32;42,3;42,3
Wisconsin;;5795483;53,92;45,4;53,7;52,4;56,9;61,2;61,2
Wyoming;R;579315;47,4;50,8;51,8;46;39,7;48,7;48,7
